soln1qi, 45.872
stx01q, -0.000
sty01q, 0.080
bmag1qi, 14.255
stx02q, -0.000
sty02q, -0.000
soln2qi, 32.500
soln3qi, 32.500
stx03q, -0.450
sty03q, -0.150
rot1qi, 61.500
rot2qi, 0.000
soln4qi, 32.500
soln5qi, 32.500
stx04q, -0.000
sty04q, -0.000
bmag2qi, 14.605
slx01qp, 0.000
slx01qg, 5.001
sly01qp, 0.000
sly01qg, 5.000
qlnsoln, 0.000
quad1axi, 13.000
quad2axi, 26.700
quad3axi, 15.800
stx01ax, -1.180
sty01ax, -0.640
quad4axi, 16.000
quad5axi, 27.300
quad6axi, 14.800
quadrqa, -33.012
soln1axi, 50.312
soln2axi, 93.750
stx02ax, 0.000
sty02ax, 0.070
sly01axp, 77.980
sly01axg, -0.410
slx01axp, 76.068
slx01axg, -0.566
