row = ('Beam', 'dbo', 'table2009November01053253', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5038', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012November07121015', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October13120936', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010August23071559', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March19022537', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16112119', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016December12084108', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4096', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June01070222', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February07065813', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2003April03095624', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August05024850', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3022', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008December09050502', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012July12044937', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003June28042326', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11085', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009July05043623', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September15120134', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March17015732', 'BASE TABLE') 
row = ('Beam', 'dbo', 'Pagef4', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March11062624', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November01090352', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March24095055', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5039', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October13121326', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010August23103055', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March20023947', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16113011', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016December13164038', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4097', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June06030645', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February09092459', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004August07034952', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August06021354', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3023', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009January27042900', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012July12101424', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003June29071810', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11086', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September16035005', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March18035129', 'BASE TABLE') 
row = ('Beam', 'dbo', 'pageF5', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March14044523', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November02083612', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March25013205', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010September20115101', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5040', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October20031646', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March20092025', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16115703', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May07064055', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016December15113524', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4098', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June07091654', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February11174751', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014May10033648', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004August14093948', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August07113617', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3024', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009January28055839', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012July13120525', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003June30094143', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11087', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009August08081714', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September16075659', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March18041307', 'BASE TABLE') 
row = ('Beam', 'dbo', 'pageF6', 'BASE TABLE') 
